time,symbol,open,high,low,close,volume
2018-11-16,BSV/USDT,89.74,172.99,78.0,132.53,328536.66926
2018-11-17,BSV/USDT,132.54,157.0,129.13,143.21,200833.77826
2018-11-18,BSV/USDT,143.31,144.0,108.36,111.5,141665.98798
2018-11-19,BSV/USDT,111.82,116.48,73.12,75.37,283735.53955
2018-11-20,BSV/USDT,75.36,79.14,53.32,59.35,401818.09153
2018-11-21,BSV/USDT,59.26,63.0,54.1,57.3,174252.43342
2018-11-22,BSV/USDT,57.3,59.18,42.82,44.11,151407.67208
2018-11-23,BSV/USDT,44.13,67.87,37.35,56.86,491553.67475
2018-11-24,BSV/USDT,56.87,74.2,53.33,60.27,595519.96199
2018-11-25,BSV/USDT,60.36,105.0,56.66,94.76,960316.15504
2018-11-26,BSV/USDT,94.58,141.0,90.0,125.29,1230372.55854
2018-11-27,BSV/USDT,125.29,133.5,88.72,103.17,650481.74007
2018-11-28,BSV/USDT,103.35,117.89,85.0,104.0,686364.45052
2018-11-29,BSV/USDT,104.1,108.0,93.4,101.34,263126.52271
2018-11-30,BSV/USDT,101.34,109.69,92.45,95.48,292561.15685
2018-12-01,BSV/USDT,95.57,96.69,87.34,93.22,168958.51701
2018-12-02,BSV/USDT,93.02,105.0,91.58,100.01,267906.55643
2018-12-03,BSV/USDT,100.04,100.58,90.59,93.83,211694.10307
2018-12-04,BSV/USDT,93.87,94.25,88.5,89.98,96212.12355
2018-12-05,BSV/USDT,89.98,93.5,84.01,86.53,119498.49719
2018-12-06,BSV/USDT,86.38,111.62,86.19,103.46,382504.90683
2018-12-07,BSV/USDT,103.83,116.75,93.7,102.92,428871.36326
2018-12-08,BSV/USDT,102.91,103.9,96.06,97.1,129794.20908
2018-12-09,BSV/USDT,97.1,99.01,91.05,95.82,127425.5063
2018-12-10,BSV/USDT,95.82,100.7,92.76,93.82,79281.73816
2018-12-11,BSV/USDT,93.77,93.98,85.91,89.08,83550.32595
2018-12-12,BSV/USDT,89.01,90.12,86.53,87.7,62657.19923
2018-12-13,BSV/USDT,87.68,87.98,76.59,78.11,124116.28779
2018-12-14,BSV/USDT,78.1,81.79,68.79,69.8,167316.10567
2018-12-15,BSV/USDT,69.79,73.48,63.85,67.39,162321.385
2018-12-16,BSV/USDT,67.49,79.89,67.03,77.42,270346.57465
2018-12-17,BSV/USDT,77.4,81.87,74.53,81.18,251787.02392
2018-12-18,BSV/USDT,81.17,85.13,76.36,83.6,238761.93024
2018-12-19,BSV/USDT,83.6,96.99,81.19,84.97,461454.71188
2018-12-20,BSV/USDT,84.85,124.15,83.4,109.77,912797.13264
2018-12-21,BSV/USDT,109.73,129.1,101.0,106.79,890805.80983
2018-12-22,BSV/USDT,106.78,113.2,101.02,107.66,340029.50368
2018-12-23,BSV/USDT,107.79,112.45,102.5,105.66,280500.37423
2018-12-24,BSV/USDT,105.6,111.77,99.41,100.74,294138.89011
2018-12-25,BSV/USDT,100.74,101.35,87.64,91.93,286732.74964
2018-12-26,BSV/USDT,91.96,98.68,89.0,93.0,203846.12695
2018-12-27,BSV/USDT,92.95,96.96,81.72,83.46,148887.05821
2018-12-28,BSV/USDT,83.47,92.66,80.47,91.48,198930.6453
2018-12-29,BSV/USDT,91.48,92.52,85.55,86.87,141440.58639
2018-12-30,BSV/USDT,86.75,88.58,85.22,87.06,71268.83681
2018-12-31,BSV/USDT,87.18,87.2,82.18,83.88,49518.8595
2019-01-01,BSV/USDT,83.88,94.88,83.23,90.79,164228.85754
2019-01-02,BSV/USDT,90.83,94.21,88.71,92.81,136925.04186
2019-01-03,BSV/USDT,92.81,94.86,85.32,87.02,110140.77059
2019-01-04,BSV/USDT,87.02,88.83,83.61,86.13,90194.19611
2019-01-05,BSV/USDT,86.07,90.35,84.75,86.91,86154.38873
2019-01-06,BSV/USDT,86.92,89.79,85.35,88.3,77679.99821
2019-01-07,BSV/USDT,88.32,88.84,86.1,86.78,51877.88685
2019-01-08,BSV/USDT,86.78,87.4,84.75,86.0,51556.22505
2019-01-09,BSV/USDT,86.06,86.65,84.87,85.6,35946.0388
2019-01-10,BSV/USDT,85.6,88.5,72.82,73.99,129158.51544
2019-01-11,BSV/USDT,74.0,74.3,71.3,73.33,63486.61187
2019-01-12,BSV/USDT,73.25,84.01,73.1,81.0,251660.75335
2019-01-13,BSV/USDT,81.0,86.43,72.84,76.09,223182.87542
2019-01-14,BSV/USDT,76.09,81.13,74.59,78.91,134291.91877
2019-01-15,BSV/USDT,78.92,80.44,74.76,75.96,87446.69338
2019-01-16,BSV/USDT,75.97,78.04,75.18,76.89,68014.67011
2019-01-17,BSV/USDT,76.89,77.16,74.8,76.75,41120.48712
2019-01-18,BSV/USDT,76.74,76.74,74.07,74.88,42222.36171
2019-01-19,BSV/USDT,74.89,77.2,74.63,76.22,30492.45692
2019-01-20,BSV/USDT,76.21,76.21,72.85,74.14,30746.052
2019-01-21,BSV/USDT,74.16,76.42,73.25,73.99,31325.5052
2019-01-22,BSV/USDT,74.0,76.17,71.78,75.23,38916.69825
2019-01-23,BSV/USDT,75.23,76.1,74.19,74.9,33949.54477
2019-01-24,BSV/USDT,74.9,74.95,73.36,73.89,20782.43725
2019-01-25,BSV/USDT,73.91,75.75,72.81,73.94,31464.93807
2019-01-26,BSV/USDT,73.97,75.28,73.0,73.24,21891.07964
2019-01-27,BSV/USDT,73.24,73.53,70.22,71.14,23153.83173
2019-01-28,BSV/USDT,71.17,71.17,61.65,64.34,67551.75926
2019-01-29,BSV/USDT,64.36,65.43,61.08,63.0,50258.04319
2019-01-30,BSV/USDT,62.99,67.86,62.49,65.85,52326.31051
2019-01-31,BSV/USDT,65.81,67.16,62.5,63.49,39890.52684
2019-02-01,BSV/USDT,63.52,64.99,62.8,63.85,23804.14575
2019-02-02,BSV/USDT,63.88,65.97,63.66,65.49,23348.20962
2019-02-03,BSV/USDT,65.49,65.65,63.33,63.78,21763.96561
2019-02-04,BSV/USDT,63.75,64.29,62.81,63.06,19207.63024
2019-02-05,BSV/USDT,63.05,63.13,60.66,61.0,23122.00781
2019-02-06,BSV/USDT,61.0,69.88,57.38,62.68,181149.71189
2019-02-07,BSV/USDT,62.67,66.19,60.88,62.49,106120.0963
2019-02-08,BSV/USDT,62.46,69.57,61.25,66.99,91079.41597
2019-02-09,BSV/USDT,67.1,67.49,65.07,65.89,42552.17755
2019-02-10,BSV/USDT,65.87,66.52,62.99,66.52,35176.02629
2019-02-11,BSV/USDT,66.47,66.75,64.49,64.72,25892.59178
2019-02-12,BSV/USDT,64.73,66.93,63.84,65.42,47417.6585
2019-02-13,BSV/USDT,65.38,66.01,64.0,64.32,27474.37841
2019-02-14,BSV/USDT,64.31,64.55,62.28,62.36,23164.82286
2019-02-15,BSV/USDT,62.27,63.43,61.67,62.21,23520.24168
2019-02-16,BSV/USDT,62.25,63.04,61.8,62.18,22680.2793
2019-02-17,BSV/USDT,62.22,63.71,61.73,62.72,27748.18874
2019-02-18,BSV/USDT,62.69,71.0,62.68,67.5,142548.18385
2019-02-19,BSV/USDT,67.43,70.83,66.55,66.58,105435.13872
2019-02-20,BSV/USDT,66.56,67.69,64.67,66.93,59805.00863
2019-02-21,BSV/USDT,66.92,67.49,64.51,65.11,36573.9118
2019-02-22,BSV/USDT,65.11,65.98,64.33,65.2,34730.79005
2019-02-23,BSV/USDT,65.26,68.71,64.66,68.71,47760.33218
2019-02-24,BSV/USDT,68.7,69.66,59.55,60.3,110498.87238
2019-02-25,BSV/USDT,60.35,71.89,60.18,67.52,188364.16723
2019-02-26,BSV/USDT,67.5,75.38,67.42,73.78,263788.11344
2019-02-27,BSV/USDT,73.74,73.81,65.7,67.31,122054.17694
2019-02-28,BSV/USDT,67.3,68.81,65.75,66.66,64843.36135
2019-03-01,BSV/USDT,66.66,68.13,65.92,66.43,36750.96816
2019-03-02,BSV/USDT,66.41,66.87,65.34,66.13,21263.28265
2019-03-03,BSV/USDT,66.14,66.54,64.4,64.76,18584.18189
