time,symbol,open,high,low,close,volume
2021-10-15,SUSHI/USDT,10.765,11.336,10.351,11.089,5097592.6
2021-10-16,SUSHI/USDT,11.089,12.0,10.88,11.398,5777020.1
2021-10-17,SUSHI/USDT,11.398,11.797,10.69,11.136,4030161.0
2021-10-18,SUSHI/USDT,11.139,11.338,10.704,10.801,2551242.1
2021-10-19,SUSHI/USDT,10.8,11.035,10.462,10.721,2823183.2
2021-10-20,SUSHI/USDT,10.722,11.599,10.475,11.537,4177366.6
2021-10-21,SUSHI/USDT,11.533,11.715,10.793,10.895,4582494.4
2021-10-22,SUSHI/USDT,10.899,11.372,10.572,10.69,3546829.1
2021-10-23,SUSHI/USDT,10.693,11.059,10.52,10.987,3367096.5
2021-10-24,SUSHI/USDT,10.988,11.143,10.228,10.534,4379796.3
2021-10-25,SUSHI/USDT,10.533,10.778,10.482,10.765,2686214.5
2021-10-26,SUSHI/USDT,10.767,12.2,10.742,11.377,9182852.1
2021-10-27,SUSHI/USDT,11.378,12.25,10.11,10.149,8352518.3
2021-10-28,SUSHI/USDT,10.149,11.04,10.073,10.974,5089662.6
2021-10-29,SUSHI/USDT,10.975,11.8,10.875,11.462,4167088.1
2021-10-30,SUSHI/USDT,11.463,11.47,10.801,11.074,2682205.0
2021-10-31,SUSHI/USDT,11.088,11.287,10.57,10.901,3479690.8
2021-11-01,SUSHI/USDT,10.885,13.128,10.541,12.742,11968743.9
2021-11-02,SUSHI/USDT,12.732,13.48,12.073,12.123,5262329.7
2021-11-03,SUSHI/USDT,12.123,13.45,11.87,13.441,7548608.3
2021-11-04,SUSHI/USDT,13.44,13.444,12.048,12.939,5072878.3
2021-11-05,SUSHI/USDT,12.937,13.28,12.113,12.142,3058768.0
2021-11-06,SUSHI/USDT,12.142,12.217,11.3,11.845,4031816.5
2021-11-07,SUSHI/USDT,11.843,12.27,11.55,12.097,3424663.7
2021-11-08,SUSHI/USDT,12.093,12.329,11.922,12.301,2778624.0
2021-11-09,SUSHI/USDT,12.302,12.442,11.95,11.971,2981832.7
2021-11-10,SUSHI/USDT,11.976,12.263,10.412,11.086,5633728.1
2021-11-11,SUSHI/USDT,11.087,11.422,10.905,11.141,2907681.3
2021-11-12,SUSHI/USDT,11.139,11.392,10.551,10.978,2678851.9
2021-11-13,SUSHI/USDT,10.978,11.225,10.645,11.183,1906846.3
2021-11-14,SUSHI/USDT,11.184,11.299,10.768,11.049,1281843.2
2021-11-15,SUSHI/USDT,11.049,11.219,10.317,10.348,3529716.6
2021-11-16,SUSHI/USDT,10.348,10.348,9.1,9.651,5455163.6
2021-11-17,SUSHI/USDT,9.658,10.106,9.506,9.741,3151180.6
2021-11-18,SUSHI/USDT,9.743,10.143,8.611,8.798,8823378.8
2021-11-19,SUSHI/USDT,8.79,9.338,8.596,9.0,4066923.4
2021-11-20,SUSHI/USDT,9.002,9.242,8.695,9.045,3937154.6
2021-11-21,SUSHI/USDT,9.046,9.17,8.67,8.733,4205730.3
2021-11-22,SUSHI/USDT,8.738,8.773,8.055,8.23,5666093.561
2021-11-23,SUSHI/USDT,8.225,8.667,8.129,8.365,4613337.9
2021-11-24,SUSHI/USDT,8.371,8.463,7.82,7.945,4696568.319
2021-11-25,SUSHI/USDT,7.946,8.419,7.65,8.206,7179697.288
2021-11-26,SUSHI/USDT,8.202,8.423,6.848,7.029,11245381.087
2021-11-27,SUSHI/USDT,7.036,7.337,6.95,7.049,4331872.6
2021-11-28,SUSHI/USDT,7.05,8.044,6.644,7.941,10368484.7
2021-11-29,SUSHI/USDT,7.945,8.316,7.446,7.465,8696690.4
2021-11-30,SUSHI/USDT,7.465,8.058,7.173,8.001,8025385.0
2021-12-01,SUSHI/USDT,8.001,8.241,7.512,7.551,6536417.8
2021-12-02,SUSHI/USDT,7.552,7.621,7.185,7.37,5513916.8
2021-12-03,SUSHI/USDT,7.371,7.477,6.6,6.821,5190859.0
2021-12-04,SUSHI/USDT,6.823,6.872,4.332,5.832,20197473.192
2021-12-05,SUSHI/USDT,5.827,5.974,5.077,5.276,7133307.7
2021-12-06,SUSHI/USDT,5.276,6.48,4.793,6.309,14852542.7
2021-12-07,SUSHI/USDT,6.302,6.433,5.77,5.866,9059576.3
2021-12-08,SUSHI/USDT,5.864,6.91,5.633,6.627,14101313.6
2021-12-09,SUSHI/USDT,6.627,6.649,5.416,5.487,9161786.0
2021-12-10,SUSHI/USDT,5.491,5.743,5.048,5.083,8284464.8
2021-12-11,SUSHI/USDT,5.083,5.779,4.959,5.731,8946148.1
2021-12-12,SUSHI/USDT,5.732,5.736,5.343,5.579,4457787.5
2021-12-13,SUSHI/USDT,5.58,6.374,5.27,5.639,30060420.5
2021-12-14,SUSHI/USDT,5.637,5.929,5.346,5.74,13730933.8
2021-12-15,SUSHI/USDT,5.74,6.159,5.596,5.946,12289383.8
2021-12-16,SUSHI/USDT,5.945,6.212,5.655,5.694,8878125.3
2021-12-17,SUSHI/USDT,5.693,5.841,5.354,5.511,7728445.9
2021-12-18,SUSHI/USDT,5.508,6.0,5.449,5.604,7791995.1
2021-12-19,SUSHI/USDT,5.605,5.639,5.305,5.337,5836104.4
2021-12-20,SUSHI/USDT,5.337,5.53,5.08,5.48,4748299.2
2021-12-21,SUSHI/USDT,5.475,5.85,5.328,5.84,5862098.7
2021-12-22,SUSHI/USDT,5.843,6.515,5.603,6.365,9437750.8
2021-12-23,SUSHI/USDT,6.363,7.494,6.215,7.307,18559356.9
2021-12-24,SUSHI/USDT,7.309,8.0,7.061,7.942,13832890.5
2021-12-25,SUSHI/USDT,7.947,8.17,7.224,7.647,10388748.0
2021-12-26,SUSHI/USDT,7.646,7.972,7.139,7.916,7809318.1
2021-12-27,SUSHI/USDT,7.926,9.581,7.612,9.14,17244458.0
2021-12-28,SUSHI/USDT,9.14,9.794,8.409,9.057,30122742.5
2021-12-29,SUSHI/USDT,9.056,9.999,8.702,9.262,19822987.6
2021-12-30,SUSHI/USDT,9.261,10.684,8.782,10.244,18608047.2
2021-12-31,SUSHI/USDT,10.245,10.433,9.35,9.425,12559461.5
2022-01-01,SUSHI/USDT,9.425,9.503,9.024,9.136,8178211.5
2022-01-02,SUSHI/USDT,9.134,9.373,8.818,8.929,6582582.0
2022-01-03,SUSHI/USDT,8.929,9.449,8.434,8.518,9994097.4
2022-01-04,SUSHI/USDT,8.518,8.8,7.954,8.075,14348366.8
2022-01-05,SUSHI/USDT,8.077,9.045,7.232,7.647,16541575.5
2022-01-06,SUSHI/USDT,7.647,7.852,7.104,7.437,9106515.7
2022-01-07,SUSHI/USDT,7.438,7.472,6.401,7.178,14869271.4
2022-01-08,SUSHI/USDT,7.177,7.328,6.301,6.563,7438646.1
2022-01-09,SUSHI/USDT,6.561,7.209,6.523,6.929,6523335.1
2022-01-10,SUSHI/USDT,6.929,7.22,6.2,6.57,8020195.8
2022-01-11,SUSHI/USDT,6.571,7.113,6.475,6.999,6512012.0
2022-01-12,SUSHI/USDT,6.993,7.287,6.926,7.112,7834256.1
2022-01-13,SUSHI/USDT,7.11,7.55,6.833,7.03,9945127.6
2022-01-14,SUSHI/USDT,7.029,7.365,6.728,7.023,6158620.2
2022-01-15,SUSHI/USDT,7.022,7.226,6.962,7.016,3541509.1
2022-01-16,SUSHI/USDT,7.016,7.09,6.85,6.971,3486249.9
2022-01-17,SUSHI/USDT,6.972,6.983,6.311,6.436,4916090.3
2022-01-18,SUSHI/USDT,6.434,6.571,6.007,6.209,4073343.6
2022-01-19,SUSHI/USDT,6.207,6.244,5.906,6.044,5093220.0
2022-01-20,SUSHI/USDT,6.047,6.592,5.763,5.807,6658116.8
2022-01-21,SUSHI/USDT,5.807,5.928,4.784,4.951,10814713.3
2022-01-22,SUSHI/USDT,4.946,5.117,3.98,4.409,13461809.523
2022-01-23,SUSHI/USDT,4.413,4.791,4.309,4.655,7881737.4
2022-01-24,SUSHI/USDT,4.654,4.655,3.792,4.398,9824475.9
2022-01-25,SUSHI/USDT,4.4,4.658,4.264,4.54,5593359.9
2022-01-26,SUSHI/USDT,4.54,4.818,4.11,4.264,11600034.6
