Price,Close,High,Low,Open,Volume
Ticker,DEWA.AE,DEWA.AE,DEWA.AE,DEWA.AE,DEWA.AE
Date,,,,,
2022-04-12,2.39298939704895,2.543072417395196,2.3679755934565825,2.4847068756796715,447948738
2022-04-13,2.3429617881774902,2.434679266742183,2.3346238536527033,2.4013275286430367,131029186
2022-06-15,2.1678647994995117,2.1678647994995117,2.1428509978274435,2.1428509978274435,11036987
2022-06-16,2.1428511142730713,2.176202851648211,2.1428511142730713,2.167864917304426,14804492
2022-06-20,2.1261749267578125,2.159526659131738,2.1261749267578125,2.159526659131738,8059037
2022-06-21,2.1261749267578125,2.159526659131738,2.1261749267578125,2.1428507929447753,9204218
2022-06-22,2.109499216079712,2.142850950912273,2.109499216079712,2.1261750834959927,7184806
2022-06-23,2.101161241531372,2.1261750421696006,2.101161241531372,2.1094991750774486,33555200
2022-06-27,2.109499216079712,2.1261750834959927,2.1011612823715713,2.109499216079712,5943778
2022-06-28,2.0928235054016113,2.117837308399395,2.0844855710690164,2.117837308399395,8634704
2022-06-29,2.1261749267578125,2.1261749267578125,2.092823194383887,2.1011611274773685,5474638
2022-06-30,2.101161241531372,2.1261750421696006,2.101161241531372,2.101161241531372,1951333
2022-07-04,2.1428511142730713,2.1428511142730713,2.109499376897932,2.1261752455855016,6484982
2022-07-05,2.109499216079712,2.1261750834959927,2.1011612823715713,2.1261750834959927,6751676
2022-07-06,2.101161241531372,2.1261750421696006,2.101161241531372,2.101161241531372,5661518
2022-07-07,2.109499216079712,2.117837149787852,2.1011612823715713,2.1011612823715713,5097465
2022-07-10,2.109499216079712,2.109499216079712,2.109499216079712,2.109499216079712,0
2022-07-11,2.109499216079712,2.109499216079712,2.109499216079712,2.109499216079712,0
2022-07-12,2.1178371906280518,2.1345130583659087,2.101161322890195,2.101161322890195,22458731
2022-07-13,2.1261749267578125,2.1261749267578125,2.1094990605708497,2.1178369936643313,8216071
2022-07-14,2.101161241531372,2.134512975715677,2.101161241531372,2.1094991750774486,10657867
2022-07-18,2.0844850540161133,2.1178367830736535,2.0844850540161133,2.1094988508092682,7753459
2022-07-19,2.0928235054016113,2.1011614397342058,2.0844855710690164,2.0844855710690164,6270720
2022-07-20,2.101161241531372,2.1094991750774486,2.092823307985296,2.101161241531372,5052423
2022-07-21,2.1261749267578125,2.1261749267578125,2.092823194383887,2.1011611274773685,3651644
2022-07-25,2.109499216079712,2.109499216079712,2.092823348663431,2.109499216079712,5305112
2022-07-26,2.109499216079712,2.109499216079712,2.092823348663431,2.1011612823715713,3607223
2022-07-27,2.101161241531372,2.1178371086235246,2.092823307985296,2.092823307985296,3761428
