date,return,equity
2025-08-04,0.0031586811187258902,100316.86899999999
2025-08-05,-0.0021084442343732835,100105.8015
2025-08-06,0.0004661791211274049,100152.49050000001
2025-08-07,0.001001557067184853,100252.89950000001
2025-08-08,-0.0008291217657001913,100169.84650000001
2025-08-11,0.0,100169.84650000001
2025-08-12,0.0009424437442065216,100264.34000000001
2025-08-13,0.0,100264.34000000001
2025-08-14,0.0,100264.34000000001
2025-08-15,0.00010015020536272054,100274.3825
2025-08-18,0.0,100274.3825
2025-08-19,0.00016227832587496205,100290.6575
2025-08-20,-0.00014736843994788866,100275.87999999999
2025-08-21,-0.00015466928325644306,100260.3728
2025-08-22,-0.0012782978685361012,100132.3738
2025-08-25,0.0,100132.3738
