date,ticker,action,shares,price,value,cost,allocation,regime
2014-09-17,UPRO,BUY,76.53049819226993,457.3340148925781,35000.0,105.00000000000728,35.0,NORMAL
2014-09-17,GLD,BUY,127.61612968490678,117.54000091552734,15000.0,45.00000000000182,15.0,NORMAL
2014-09-17,TLT,BUY,177.06531850332038,84.7145004272461,15000.0,45.00000000000182,15.0,NORMAL
2014-12-31,UPRO,BUY,22.61867467095807,320.1929931640625,7242.3411442982315,21.727023432895294,35.0,NORMAL
2014-12-31,GLD,SELL,7.825661354147144,113.58000183105469,888.8386309332465,2.66651589279968,15.0,NORMAL
2014-12-31,TLT,SELL,34.524006465476106,95.4516372680664,3295.3729421830044,9.886118826548682,15.0,NORMAL
2014-12-31,VOO,BUY,3012.6893672302176,10.537717819213867,31746.870428818012,95.24061128645917,35.0,NORMAL
2015-03-31,GLD,SELL,5.038910580772352,113.66000366210938,572.7225950636273,1.7181677851908717,15.0,NORMAL
2015-03-31,TLT,SELL,11.40821815845348,99.46125793457031,1134.6757288317901,3.404027186495341,15.0,NORMAL
2015-03-31,VOO,SELL,145.82457816390433,10.615386962890625,1547.9843259101349,4.6439529777303505,35.0,NORMAL
2015-06-30,UPRO,BUY,14.695059246211372,263.0719909667969,3865.858493275863,11.59757547982781,35.0,NORMAL
2015-06-30,TLT,BUY,11.55024550959834,89.9571304321289,1039.026941830049,3.1170808254903477,15.0,NORMAL
2015-06-30,VOO,SELL,32.12538277936483,10.565073013305664,339.40701464438183,1.0182210439331243,35.0,NORMAL
2015-09-30,UPRO,SELL,45.09815932204771,236.05999755859375,10645.871379459653,31.937614138378194,20.0,DEFENSIVE
2015-09-30,VOO,BUY,92.6993163579973,8.31521987915039,770.8151981636702,2.3124455944911233,30.0,DEFENSIVE
2015-12-31,UPRO,BUY,2.7228304664009215,430.5669860839844,1172.3609075358943,3.517082722607711,35.0,NORMAL
2015-12-31,GLD,BUY,15.2313371996907,101.45999908447266,1545.3714583359126,4.636114375007992,15.0,NORMAL
2015-12-31,TLT,SELL,2.000840831231301,93.74346160888672,187.56574564802443,0.5626972369440466,15.0,NORMAL
2015-12-31,VOO,BUY,154.3620798034476,9.985119819641113,1541.323862446428,4.623971587339383,35.0,NORMAL
